"","user_pk","domain_numeric","calendar_month","ncases_touched","prev_ncases_touched","active_months","months_on_cc"
"4",14,1,2013-10-01,1,2,16,17
"5",14,1,2013-11-01,6,1,16,17
"6",14,1,2013-12-01,2,6,16,17
"7",14,1,2014-01-01,2,2,16,17
"8",14,1,2014-02-01,4,2,16,17
"9",14,1,2014-03-01,2,4,16,17
"10",14,1,2014-04-01,4,2,16,17
"11",14,1,2014-05-01,2,4,16,17
"12",14,1,2014-06-01,2,2,16,17
"13",14,1,2014-07-01,1,2,16,17
"14",14,1,2014-08-01,1,1,16,17
"15",14,1,2014-09-01,1,1,16,17
"20",22,1,2014-08-01,5,3,6,9
"21",22,1,2014-09-01,2,5,6,9
"22",22,1,2014-10-01,3,2,6,9
"23",45,2,2014-05-01,13,3,6,6
"24",58,2,2014-05-01,3,2,6,6
"25",84,2,2014-05-01,15,6,6,6
"27",85,3,2012-09-01,40,16,13,27
"28",85,3,2012-10-01,9,40,13,27
"30",85,3,2013-04-01,1,15,13,27
"32",85,3,2013-07-01,4,5,13,27
"33",85,3,2013-08-01,2,4,13,27
"34",85,3,2013-09-01,3,2,13,27
"40",87,3,2013-07-01,7,4,10,27
"41",87,3,2013-08-01,1,7,10,27
"43",88,3,2012-09-01,6,19,10,26
"44",88,3,2012-10-01,6,6,10,26
"48",88,3,2013-08-01,1,8,10,26
"51",91,3,2013-04-01,3,14,8,13
"53",91,3,2013-07-01,4,5,8,13
"54",91,3,2013-08-01,2,4,8,13
"55",106,3,2012-09-01,87,22,9,26
"56",106,3,2012-10-01,10,87,9,26
"59",106,3,2013-07-01,7,4,9,26
"60",106,3,2013-08-01,2,7,9,26
"63",110,3,2013-07-01,8,4,6,13
"64",110,3,2013-08-01,1,8,6,13
"66",116,3,2012-09-01,9,15,12,28
"67",116,3,2012-10-01,18,9,12,28
"70",116,3,2013-07-01,7,4,12,28
"71",116,3,2013-08-01,2,7,12,28
"73",116,3,2014-06-01,1,12,12,28
"74",125,3,2012-10-01,9,5,10,25
"77",125,3,2013-04-01,4,27,10,25
"79",125,3,2013-07-01,6,5,10,25
"81",138,3,2013-01-01,4,3,11,22
"83",138,3,2013-04-01,10,14,11,22
"85",138,3,2013-07-01,6,4,11,22
"86",138,3,2013-08-01,5,6,11,22
"90",139,3,2013-07-01,7,5,9,13
"91",139,3,2013-08-01,3,7,9,13
"96",140,3,2013-04-01,2,40,13,27
"98",140,3,2013-07-01,7,5,13,27
"99",140,3,2013-08-01,5,7,13,27
"101",144,3,2012-10-01,10,8,10,16
"104",144,3,2013-04-01,8,11,10,16
"106",144,3,2013-07-01,7,5,10,16
"107",144,3,2013-08-01,2,7,10,16
"109",146,3,2013-07-01,5,6,7,13
"110",146,3,2013-08-01,2,5,7,13
"111",150,3,2012-08-01,29,4,8,12
"112",150,3,2012-09-01,2,29,8,12
"115",151,3,2012-09-01,21,21,17,28
"116",151,3,2012-10-01,6,21,17,28
"117",151,3,2012-11-01,8,6,17,28
"118",151,3,2012-12-01,2,8,17,28
"119",151,3,2013-01-01,3,2,17,28
"121",151,3,2013-04-01,2,24,17,28
"122",151,3,2013-05-01,5,2,17,28
"123",151,3,2013-06-01,5,5,17,28
"124",151,3,2013-07-01,6,5,17,28
"125",151,3,2013-08-01,3,6,17,28
"127",151,3,2014-06-01,2,20,17,28
"129",168,3,2013-07-01,4,5,6,13
"130",168,3,2013-08-01,2,4,6,13
"132",169,3,2013-04-01,1,26,8,12
"134",169,3,2013-07-01,7,5,8,12
"136",180,3,2012-09-01,20,18,11,28
"137",180,3,2012-10-01,15,20,11,28
"141",180,3,2013-07-01,6,4,11,28
"145",183,3,2012-11-01,11,1,21,33
"147",183,3,2013-02-01,3,1,21,33
"148",183,3,2013-03-01,12,3,21,33
"149",183,3,2013-04-01,1,12,21,33
"151",183,3,2013-09-01,15,6,21,33
"153",183,3,2013-12-01,6,2,21,33
"155",183,3,2014-06-01,1,4,21,33
"157",183,3,2014-09-01,15,3,21,33
"158",183,3,2014-10-01,13,15,21,33
"163",187,3,2013-04-01,3,21,12,27
"165",187,3,2013-07-01,8,5,12,27
"166",187,3,2013-08-01,2,8,12,27
"169",191,3,2013-07-01,6,5,7,13
"170",191,3,2013-08-01,2,6,7,13
"172",194,3,2012-09-01,14,8,12,27
"173",194,3,2012-10-01,8,14,12,27
"176",194,3,2013-04-01,2,17,12,27
"178",194,3,2013-07-01,5,4,12,27
"180",195,3,2012-09-01,69,19,11,26
"181",195,3,2012-10-01,31,69,11,26
"183",195,3,2013-04-01,2,13,11,26
"185",195,3,2013-07-01,7,5,11,26
"186",195,3,2013-08-01,2,7,11,26
"189",197,3,2012-09-01,4,18,11,27
"190",197,3,2012-10-01,13,4,11,27
"194",197,3,2013-07-01,5,5,11,27
"195",197,3,2013-08-01,2,5,11,27
"197",208,3,2012-09-01,28,8,11,26
"198",208,3,2012-10-01,6,28,11,26
"202",208,3,2013-07-01,7,3,11,26
"203",208,3,2013-08-01,2,7,11,26
"206",210,3,2013-07-01,8,5,6,13
"207",210,3,2013-08-01,2,8,6,13
"209",211,3,2012-09-01,18,10,11,27
"210",211,3,2012-10-01,14,18,11,27
"212",211,3,2013-04-01,20,26,11,27
"214",211,3,2013-07-01,8,5,11,27
"215",211,3,2013-08-01,2,8,11,27
"218",213,3,2013-07-01,5,5,7,13
"219",213,3,2013-08-01,3,5,7,13
"221",214,3,2013-04-01,2,23,9,22
"223",214,3,2013-07-01,7,5,9,22
"224",214,3,2013-08-01,3,7,9,22
"228",220,3,2013-06-01,5,10,8,13
"229",220,3,2013-07-01,7,5,8,13
"230",220,3,2013-08-01,2,7,8,13
"232",223,3,2012-09-01,16,10,19,28
"233",223,3,2012-10-01,41,16,19,28
"234",223,3,2012-11-01,10,41,19,28
"236",223,3,2013-02-01,2,17,19,28
"237",223,3,2013-03-01,17,2,19,28
"238",223,3,2013-04-01,2,17,19,28
"239",223,3,2013-05-01,4,2,19,28
"240",223,3,2013-06-01,10,4,19,28
"241",223,3,2013-07-01,8,10,19,28
"242",223,3,2013-08-01,2,8,19,28
"246",223,3,2014-06-01,1,26,19,28
"248",225,3,2013-07-01,8,5,6,13
"249",225,3,2013-08-01,2,8,6,13
"250",232,4,2013-08-01,15,10,14,15
"251",232,4,2013-09-01,53,15,14,15
"252",232,4,2013-10-01,42,53,14,15
"253",232,4,2013-11-01,7,42,14,15
"254",232,4,2013-12-01,2,7,14,15
"255",232,4,2014-01-01,5,2,14,15
"256",232,4,2014-02-01,7,5,14,15
"257",232,4,2014-03-01,4,7,14,15
"259",235,4,2013-08-01,45,21,7,7
"260",235,4,2013-09-01,7,45,7,7
"262",236,4,2013-09-01,1,1,6,8
"263",236,4,2013-10-01,4,1,6,8
"264",238,4,2013-08-01,1,1,10,17
"265",238,4,2013-09-01,15,1,10,17
"268",238,4,2014-07-01,3,2,10,17
"269",239,4,2013-08-01,22,35,10,18
"270",239,4,2013-09-01,7,22,10,18
"274",245,4,2013-05-01,41,14,21,24
"275",245,4,2013-06-01,10,41,21,24
"276",245,4,2013-07-01,42,10,21,24
"277",245,4,2013-08-01,19,42,21,24
"278",245,4,2013-09-01,49,19,21,24
"279",245,4,2013-10-01,46,49,21,24
"280",245,4,2013-11-01,25,46,21,24
"281",245,4,2013-12-01,32,25,21,24
"282",245,4,2014-01-01,19,32,21,24
"283",245,4,2014-02-01,21,19,21,24
"284",245,4,2014-03-01,39,21,21,24
"285",245,4,2014-04-01,23,39,21,24
"286",245,4,2014-05-01,42,23,21,24
"287",245,4,2014-06-01,17,42,21,24
"288",245,4,2014-07-01,40,17,21,24
"289",245,4,2014-08-01,3,40,21,24
"290",245,4,2014-09-01,14,3,21,24
"293",247,6,2014-07-01,1,1,9,12
"294",247,6,2014-08-01,2,1,9,12
"295",247,6,2014-09-01,1,2,9,12
"296",247,6,2014-10-01,1,1,9,12
"297",248,6,2014-03-01,8,11,8,9
"298",248,6,2014-04-01,7,8,8,9
"299",248,6,2014-05-01,4,7,8,9
"300",248,6,2014-06-01,3,4,8,9
"301",249,6,2014-03-01,16,29,11,11
"302",249,6,2014-04-01,18,16,11,11
"303",249,6,2014-05-01,10,18,11,11
"304",249,6,2014-06-01,27,10,11,11
"305",249,6,2014-07-01,12,27,11,11
"306",249,6,2014-08-01,15,12,11,11
"309",251,6,2014-04-01,8,7,8,10
"310",251,6,2014-05-01,8,8,8,10
"311",251,6,2014-06-01,1,8,8,10
"312",251,6,2014-07-01,3,1,8,10
"313",252,6,2014-03-01,11,12,13,13
"314",252,6,2014-04-01,12,11,13,13
"315",252,6,2014-05-01,10,12,13,13
"316",252,6,2014-06-01,12,10,13,13
"317",252,6,2014-07-01,14,12,13,13
"318",252,6,2014-08-01,13,14,13,13
"319",252,6,2014-09-01,10,13,13,13
"320",252,6,2014-10-01,15,10,13,13
"321",254,6,2014-03-01,3,1,12,13
"322",254,6,2014-04-01,6,3,12,13
"323",254,6,2014-05-01,2,6,12,13
"324",254,6,2014-06-01,2,2,12,13
"325",254,6,2014-07-01,8,2,12,13
"326",254,6,2014-08-01,11,8,12,13
"327",254,6,2014-09-01,6,11,12,13
"328",254,6,2014-10-01,10,6,12,13
"329",257,6,2014-04-01,4,5,10,10
"330",257,6,2014-05-01,1,4,10,10
"331",257,6,2014-06-01,7,1,10,10
"332",257,6,2014-07-01,6,7,10,10
"333",257,6,2014-08-01,5,6,10,10
"336",259,10,2014-06-01,1,1,6,10
"337",260,10,2014-02-01,1,1,9,9
"338",260,10,2014-03-01,1,1,9,9
"339",260,10,2014-04-01,1,1,9,9
"340",260,10,2014-05-01,1,1,9,9
"342",262,10,2014-03-01,1,1,9,10
"343",262,10,2014-04-01,1,1,9,10
"344",262,10,2014-05-01,1,1,9,10
"345",262,10,2014-06-01,1,1,9,10
"347",263,10,2014-04-01,1,1,6,9
"348",263,10,2014-05-01,1,1,6,9
"349",263,10,2014-06-01,1,1,6,9
"350",265,10,2014-02-01,1,1,10,10
"351",265,10,2014-03-01,1,1,10,10
"352",265,10,2014-04-01,1,1,10,10
"353",265,10,2014-05-01,1,1,10,10
"354",265,10,2014-06-01,1,1,10,10
"355",267,10,2014-02-01,2,3,10,10
"356",267,10,2014-03-01,3,2,10,10
"357",267,10,2014-04-01,5,3,10,10
"358",267,10,2014-05-01,8,5,10,10
"359",267,10,2014-06-01,5,8,10,10
"361",269,10,2014-03-01,1,1,8,8
"362",269,10,2014-04-01,1,1,8,8
"363",269,10,2014-05-01,1,1,8,8
"364",272,10,2014-02-01,1,1,9,9
"365",272,10,2014-03-01,1,1,9,9
"366",272,10,2014-04-01,1,1,9,9
"367",272,10,2014-05-01,1,1,9,9
"371",276,10,2014-03-01,1,1,8,10
"372",276,10,2014-04-01,1,1,8,10
"374",277,10,2014-02-01,1,1,8,9
"375",277,10,2014-03-01,1,1,8,9
"376",277,10,2014-04-01,1,1,8,9
"377",277,10,2014-05-01,1,1,8,9
"378",278,10,2014-02-01,1,1,10,10
"379",278,10,2014-03-01,1,1,10,10
"380",278,10,2014-04-01,1,1,10,10
"381",278,10,2014-05-01,1,1,10,10
"382",278,10,2014-06-01,1,1,10,10
"385",279,10,2014-05-01,1,1,8,10
"386",279,10,2014-06-01,1,1,8,10
"387",280,10,2014-02-01,1,1,8,9
"388",280,10,2014-03-01,1,1,8,9
"391",286,10,2014-03-01,1,1,8,10
"392",286,10,2014-04-01,1,1,8,10
"393",286,10,2014-05-01,1,1,8,10
"394",286,10,2014-06-01,1,1,8,10
"395",289,10,2014-02-01,1,1,10,11
"396",289,10,2014-03-01,1,1,10,11
"397",289,10,2014-04-01,1,1,10,11
"398",289,10,2014-05-01,1,1,10,11
"401",292,10,2014-05-01,1,1,6,8
"404",296,10,2014-03-01,1,1,7,7
"405",296,10,2014-04-01,1,1,7,7
"408",301,11,2014-04-01,11,2,7,19
"409",301,11,2014-05-01,9,11,7,19
"410",301,11,2014-06-01,2,9,7,19
"411",301,11,2014-07-01,2,2,7,19
"413",447,16,2014-07-01,2,106,6,8
"414",447,16,2014-08-01,2,2,6,8
"415",487,16,2014-06-01,94,33,6,9
"417",518,18,2014-08-01,19,20,9,9
"418",518,18,2014-09-01,16,19,9,9
"419",518,18,2014-10-01,23,16,9,9
"421",520,18,2014-08-01,16,8,7,7
"422",520,18,2014-09-01,9,16,7,7
"423",521,18,2014-09-01,11,8,8,8
"424",521,18,2014-10-01,15,11,8,8
"425",522,18,2014-08-01,24,22,9,9
"426",522,18,2014-09-01,26,24,9,9
"427",522,18,2014-10-01,43,26,9,9
"428",523,18,2014-04-01,4,5,11,11
"429",523,18,2014-05-01,5,4,11,11
"430",523,18,2014-06-01,2,5,11,11
"431",523,18,2014-07-01,6,2,11,11
"432",523,18,2014-08-01,1,6,11,11
"433",523,18,2014-09-01,7,1,11,11
"434",524,18,2014-09-01,8,19,8,8
"435",524,18,2014-10-01,18,8,8,8
"436",525,18,2014-04-01,6,24,11,12
"437",525,18,2014-05-01,9,6,11,12
"438",525,18,2014-06-01,14,9,11,12
"440",525,18,2014-09-01,11,3,11,12
"441",525,18,2014-10-01,22,11,11,12
"442",526,18,2014-04-01,2,9,10,11
"443",526,18,2014-05-01,7,2,10,11
"444",526,18,2014-06-01,6,7,10,11
"446",526,18,2014-09-01,8,8,10,11
"447",528,18,2014-08-01,8,12,8,8
"448",528,18,2014-09-01,9,8,8,8
"449",528,18,2014-10-01,7,9,8,8
"450",529,18,2014-04-01,15,9,13,13
"451",529,18,2014-05-01,12,15,13,13
"452",529,18,2014-06-01,7,12,13,13
"453",529,18,2014-07-01,9,7,13,13
"454",529,18,2014-08-01,9,9,13,13
"455",529,18,2014-09-01,8,9,13,13
"456",529,18,2014-10-01,5,8,13,13
"457",531,18,2014-08-01,9,10,9,9
"458",531,18,2014-09-01,11,9,9,9
"459",531,18,2014-10-01,7,11,9,9
"460",532,18,2014-08-01,23,21,8,8
"461",532,18,2014-09-01,18,23,8,8
"462",532,18,2014-10-01,19,18,8,8
"463",533,18,2014-08-01,5,5,9,9
"464",533,18,2014-09-01,7,5,9,9
"465",533,18,2014-10-01,15,7,9,9
"466",537,18,2014-08-01,24,27,8,8
"467",537,18,2014-09-01,23,24,8,8
"468",537,18,2014-10-01,17,23,8,8
"469",538,18,2014-08-01,7,15,8,8
"470",538,18,2014-09-01,5,7,8,8
"471",538,18,2014-10-01,4,5,8,8
"472",539,18,2014-04-01,12,4,10,10
"473",539,18,2014-05-01,10,12,10,10
"474",539,18,2014-06-01,13,10,10,10
"475",539,18,2014-07-01,11,13,10,10
"476",539,18,2014-08-01,7,11,10,10
"477",541,18,2014-08-01,12,7,8,8
"478",541,18,2014-09-01,5,12,8,8
"479",541,18,2014-10-01,1,5,8,8
"480",546,18,2014-04-01,6,6,13,13
"481",546,18,2014-05-01,7,6,13,13
"482",546,18,2014-06-01,9,7,13,13
"483",546,18,2014-07-01,10,9,13,13
"484",546,18,2014-08-01,10,10,13,13
"485",546,18,2014-09-01,11,10,13,13
"486",546,18,2014-10-01,11,11,13,13
"487",549,18,2014-09-01,1,1,8,8
"488",549,18,2014-10-01,2,1,8,8
"489",550,18,2014-08-01,22,27,9,9
"490",550,18,2014-09-01,21,22,9,9
"491",550,18,2014-10-01,35,21,9,9
"493",551,18,2014-04-01,15,13,10,35
"494",551,18,2014-05-01,10,15,10,35
"495",551,18,2014-06-01,11,10,10,35
"496",551,18,2014-07-01,13,11,10,35
"497",551,18,2014-08-01,16,13,10,35
"498",551,18,2014-09-01,13,16,10,35
"499",551,18,2014-10-01,18,13,10,35
"500",552,18,2014-09-01,5,5,8,8
"501",552,18,2014-10-01,9,5,8,8
"502",553,18,2014-09-01,13,13,8,8
"503",553,18,2014-10-01,15,13,8,8
"504",554,18,2014-04-01,6,21,12,12
"505",554,18,2014-05-01,20,6,12,12
"506",554,18,2014-06-01,17,20,12,12
"507",554,18,2014-07-01,19,17,12,12
"508",554,18,2014-08-01,19,19,12,12
"509",554,18,2014-09-01,29,19,12,12
"510",554,18,2014-10-01,23,29,12,12
"511",556,18,2014-04-01,18,26,13,13
"512",556,18,2014-05-01,13,18,13,13
"513",556,18,2014-06-01,6,13,13,13
"514",556,18,2014-07-01,8,6,13,13
"515",556,18,2014-08-01,14,8,13,13
"516",556,18,2014-09-01,25,14,13,13
"517",556,18,2014-10-01,33,25,13,13
"518",557,18,2014-04-01,10,10,11,11
"519",557,18,2014-05-01,10,10,11,11
"520",557,18,2014-06-01,9,10,11,11
"521",557,18,2014-07-01,8,9,11,11
"522",557,18,2014-08-01,2,8,11,11
"523",557,18,2014-09-01,6,2,11,11
"525",560,18,2014-06-01,13,1,11,13
"526",560,18,2014-07-01,1,13,11,13
"528",560,18,2014-10-01,9,6,11,13
"529",562,18,2014-09-01,1,2,6,6
"531",563,18,2014-10-01,7,3,6,8
"532",565,18,2014-09-01,15,9,8,8
"533",565,18,2014-10-01,9,15,8,8
"534",566,18,2014-08-01,5,4,7,7
"535",566,18,2014-09-01,9,5,7,7
"536",567,18,2014-08-01,23,25,8,8
"537",567,18,2014-09-01,18,23,8,8
"538",567,18,2014-10-01,8,18,8,8
"539",568,18,2014-08-01,16,16,9,9
"540",568,18,2014-09-01,12,16,9,9
"541",568,18,2014-10-01,8,12,9,9
"542",569,18,2014-08-01,22,22,9,9
"543",569,18,2014-09-01,21,22,9,9
"544",569,18,2014-10-01,18,21,9,9
"545",570,18,2014-09-01,12,11,7,7
"546",570,18,2014-10-01,16,12,7,7
"547",571,18,2014-08-01,18,25,9,9
"548",571,18,2014-09-01,14,18,9,9
"549",571,18,2014-10-01,20,14,9,9
"550",572,18,2014-04-01,2,19,13,13
"551",572,18,2014-05-01,12,2,13,13
"552",572,18,2014-06-01,6,12,13,13
"553",572,18,2014-07-01,7,6,13,13
"554",572,18,2014-08-01,6,7,13,13
"555",572,18,2014-09-01,6,6,13,13
"556",572,18,2014-10-01,4,6,13,13
"557",573,18,2014-09-01,2,5,8,8
"558",573,18,2014-10-01,4,2,8,8
"559",574,18,2014-09-01,11,6,7,7
"560",574,18,2014-10-01,7,11,7,7
"561",576,18,2014-08-01,56,38,9,9
"562",576,18,2014-09-01,73,56,9,9
"563",576,18,2014-10-01,58,73,9,9
"564",580,18,2014-08-01,26,19,8,8
"565",580,18,2014-09-01,21,26,8,8
"566",580,18,2014-10-01,20,21,8,8
"567",581,18,2014-08-01,9,13,8,8
"568",581,18,2014-09-01,2,9,8,8
"569",581,18,2014-10-01,7,2,8,8
"570",583,18,2014-08-01,10,14,6,6
"571",585,18,2014-04-01,2,12,12,12
"572",585,18,2014-05-01,8,2,12,12
"573",585,18,2014-06-01,3,8,12,12
"574",585,18,2014-07-01,7,3,12,12
"575",585,18,2014-08-01,6,7,12,12
"576",585,18,2014-09-01,8,6,12,12
"577",585,18,2014-10-01,25,8,12,12
"578",588,18,2014-04-01,1,3,9,12
"580",588,18,2014-09-01,3,2,9,12
"581",588,18,2014-10-01,5,3,9,12
"582",589,18,2014-09-01,1,1,7,7
"583",589,18,2014-10-01,2,1,7,7
"584",590,18,2014-08-01,23,24,9,9
"585",590,18,2014-09-01,29,23,9,9
"586",590,18,2014-10-01,27,29,9,9
"587",591,18,2014-08-01,4,12,9,9
"588",591,18,2014-09-01,12,4,9,9
"589",591,18,2014-10-01,12,12,9,9
"590",593,18,2014-08-01,30,12,9,9
"591",593,18,2014-09-01,17,30,9,9
"592",593,18,2014-10-01,16,17,9,9
"593",594,18,2014-08-01,32,38,9,9
"594",594,18,2014-09-01,26,32,9,9
"595",594,18,2014-10-01,29,26,9,9
"596",596,18,2014-08-01,25,4,9,9
"597",596,18,2014-09-01,24,25,9,9
"598",596,18,2014-10-01,24,24,9,9
"599",597,18,2014-08-01,13,19,8,8
"600",597,18,2014-09-01,7,13,8,8
"601",597,18,2014-10-01,9,7,8,8
"602",598,18,2014-08-01,6,9,9,9
"603",598,18,2014-09-01,3,6,9,9
"604",598,18,2014-10-01,8,3,9,9
"605",599,18,2014-08-01,1,3,9,9
"606",599,18,2014-09-01,2,1,9,9
"607",599,18,2014-10-01,2,2,9,9
"608",600,18,2014-04-01,11,11,12,12
"609",600,18,2014-05-01,16,11,12,12
"610",600,18,2014-06-01,6,16,12,12
"611",600,18,2014-07-01,7,6,12,12
"612",600,18,2014-08-01,2,7,12,12
"613",600,18,2014-09-01,4,2,12,12
"614",600,18,2014-10-01,2,4,12,12
"615",601,18,2014-08-01,3,6,9,9
"616",601,18,2014-09-01,3,3,9,9
"617",601,18,2014-10-01,8,3,9,9
"618",602,18,2014-08-01,13,11,8,8
"619",602,18,2014-09-01,16,13,8,8
"620",602,18,2014-10-01,9,16,8,8
"621",604,18,2014-08-01,13,22,9,9
"622",604,18,2014-09-01,15,13,9,9
"623",604,18,2014-10-01,19,15,9,9
"625",605,18,2014-10-01,7,6,7,8
"627",606,18,2014-05-01,23,13,9,35
"628",606,18,2014-06-01,13,23,9,35
"629",606,18,2014-07-01,24,13,9,35
"630",606,18,2014-08-01,21,24,9,35
"631",606,18,2014-09-01,15,21,9,35
"632",606,18,2014-10-01,29,15,9,35
"633",607,18,2014-08-01,37,22,8,8
"634",607,18,2014-09-01,19,37,8,8
"635",607,18,2014-10-01,5,19,8,8
"636",608,18,2014-08-01,4,3,9,9
"637",608,18,2014-09-01,6,4,9,9
"638",608,18,2014-10-01,16,6,9,9
"639",611,18,2014-08-01,20,30,9,9
"640",611,18,2014-09-01,13,20,9,9
"641",611,18,2014-10-01,18,13,9,9
"643",617,18,2014-04-01,13,19,10,11
"644",617,18,2014-05-01,5,13,10,11
"645",617,18,2014-06-01,3,5,10,11
"646",617,18,2014-07-01,10,3,10,11
"648",618,18,2014-08-01,8,6,7,9
"651",619,18,2014-10-01,13,8,6,8
"652",624,18,2014-08-01,13,15,9,9
"653",624,18,2014-09-01,16,13,9,9
"654",624,18,2014-10-01,15,16,9,9
"655",625,18,2014-10-01,30,25,7,7
"656",626,18,2014-09-01,4,1,6,6
"657",627,18,2014-09-01,20,20,8,8
"658",627,18,2014-10-01,22,20,8,8
"659",630,18,2014-04-01,15,8,13,13
"660",630,18,2014-05-01,19,15,13,13
"661",630,18,2014-06-01,14,19,13,13
"662",630,18,2014-07-01,10,14,13,13
"663",630,18,2014-08-01,7,10,13,13
"664",630,18,2014-09-01,10,7,13,13
"665",630,18,2014-10-01,13,10,13,13
"666",634,18,2014-08-01,3,3,7,8
"668",638,18,2014-08-01,15,42,9,9
"669",638,18,2014-09-01,15,15,9,9
"670",638,18,2014-10-01,20,15,9,9
"671",639,18,2014-08-01,22,22,8,8
"672",639,18,2014-09-01,13,22,8,8
"673",639,18,2014-10-01,15,13,8,8
"674",640,18,2014-04-01,2,4,10,13
"675",640,18,2014-05-01,10,2,10,13
"676",640,18,2014-06-01,6,10,10,13
"677",640,18,2014-07-01,11,6,10,13
"678",641,18,2014-04-01,27,11,12,12
"679",641,18,2014-05-01,26,27,12,12
"680",641,18,2014-06-01,13,26,12,12
"681",641,18,2014-07-01,18,13,12,12
"682",641,18,2014-08-01,4,18,12,12
"683",641,18,2014-09-01,11,4,12,12
"684",641,18,2014-10-01,5,11,12,12
"686",654,20,2014-10-01,5,6,6,8
"687",659,20,2014-06-01,1,1,9,9
"688",659,20,2014-07-01,3,1,9,9
"689",659,20,2014-08-01,1,3,9,9
"690",659,20,2014-09-01,1,1,9,9
"692",662,20,2014-04-01,13,7,11,14
"693",662,20,2014-05-01,13,13,11,14
"694",662,20,2014-06-01,12,13,11,14
"695",662,20,2014-07-01,12,12,11,14
"696",662,20,2014-08-01,1,12,11,14
"697",662,20,2014-09-01,2,1,11,14
"698",662,20,2014-10-01,11,2,11,14
"699",663,20,2014-06-01,1,2,9,10
"700",663,20,2014-07-01,5,1,9,10
"702",663,20,2014-10-01,6,5,9,10
"703",671,20,2014-06-01,2,2,7,8
"704",671,20,2014-07-01,1,2,7,8
"705",671,20,2014-08-01,1,1,7,8
"708",673,20,2014-08-01,1,3,7,13
"709",673,20,2014-09-01,1,1,7,13
"710",673,20,2014-10-01,1,1,7,13
"713",675,20,2014-06-01,2,4,9,13
"715",675,20,2014-10-01,2,2,9,13
"716",678,20,2014-03-01,1,6,12,13
"717",678,20,2014-04-01,8,1,12,13
"718",678,20,2014-05-01,12,8,12,13
"719",678,20,2014-06-01,12,12,12,13
"720",678,20,2014-07-01,9,12,12,13
"722",678,20,2014-10-01,11,14,12,13
"723",683,20,2014-03-01,4,6,10,13
"724",683,20,2014-04-01,2,4,10,13
"725",683,20,2014-05-01,15,2,10,13
"726",683,20,2014-06-01,7,15,10,13
"727",683,20,2014-07-01,13,7,10,13
"729",683,20,2014-10-01,22,30,10,13
"731",686,20,2014-07-01,2,3,7,11
"732",686,20,2014-08-01,2,2,7,11
"734",689,20,2014-07-01,2,5,8,13
"735",689,20,2014-08-01,1,2,8,13
"736",689,20,2014-09-01,3,1,8,13
"737",689,20,2014-10-01,3,3,8,13
"738",691,20,2014-03-01,6,9,12,13
"739",691,20,2014-04-01,21,6,12,13
"740",691,20,2014-05-01,6,21,12,13
"741",691,20,2014-06-01,5,6,12,13
"742",691,20,2014-07-01,21,5,12,13
"743",691,20,2014-08-01,1,21,12,13
"744",691,20,2014-09-01,9,1,12,13
"745",691,20,2014-10-01,12,9,12,13
"746",698,20,2013-11-01,2,2,15,17
"747",698,20,2013-12-01,5,2,15,17
"748",698,20,2014-01-01,1,5,15,17
"749",698,20,2014-02-01,2,1,15,17
"750",698,20,2014-03-01,2,2,15,17
"751",698,20,2014-04-01,1,2,15,17
"752",698,20,2014-05-01,1,1,15,17
"753",698,20,2014-06-01,1,1,15,17
"754",698,20,2014-07-01,1,1,15,17
"755",698,20,2014-08-01,2,1,15,17
"758",699,20,2014-09-01,11,11,7,10
"759",699,20,2014-10-01,11,11,7,10
"760",704,20,2014-06-01,24,19,7,10
"762",704,20,2014-10-01,28,15,7,10
"763",706,20,2014-03-01,13,3,12,13
"764",706,20,2014-04-01,1,13,12,13
"765",706,20,2014-05-01,11,1,12,13
"766",706,20,2014-06-01,2,11,12,13
"767",706,20,2014-07-01,4,2,12,13
"768",706,20,2014-08-01,2,4,12,13
"770",711,20,2014-04-01,2,2,8,13
"772",711,20,2014-10-01,7,7,8,13
"773",712,20,2013-12-01,6,2,13,16
"774",712,20,2014-01-01,1,6,13,16
"778",712,20,2014-08-01,3,4,13,16
"779",712,20,2014-09-01,5,3,13,16
"780",712,20,2014-10-01,1,5,13,16
"781",714,20,2014-03-01,1,1,8,10
"782",714,20,2014-04-01,2,1,8,10
"783",714,20,2014-05-01,4,2,8,10
"785",721,20,2013-11-01,4,4,8,11
"787",721,20,2014-04-01,8,8,8,11
"789",727,20,2014-07-01,1,5,9,14
"790",727,20,2014-08-01,1,1,9,14
"791",727,20,2014-09-01,4,1,9,14
"792",727,20,2014-10-01,2,4,9,14
"795",740,20,2014-08-01,1,2,8,10
"796",740,20,2014-09-01,6,1,8,10
"797",740,20,2014-10-01,3,6,8,10
"799",744,20,2014-07-01,5,1,6,10
"800",744,20,2014-08-01,3,5,6,10
"801",744,20,2014-09-01,8,3,6,10
"802",744,20,2014-10-01,3,8,6,10
"804",745,20,2014-01-01,1,1,8,13
"805",745,20,2014-02-01,1,1,8,13
"813",748,20,2014-10-01,10,1,8,17
"814",749,20,2014-03-01,1,1,13,13
"815",749,20,2014-04-01,3,1,13,13
"816",749,20,2014-05-01,2,3,13,13
"817",749,20,2014-06-01,2,2,13,13
"818",749,20,2014-07-01,2,2,13,13
"819",749,20,2014-08-01,1,2,13,13
"820",749,20,2014-09-01,2,1,13,13
"821",749,20,2014-10-01,2,2,13,13
"822",753,20,2014-07-01,17,20,8,9
"823",753,20,2014-08-01,16,17,8,9
"824",753,20,2014-09-01,16,16,8,9
